kd,test_type,run,irq_rate,irq_cpu_overhead_pct,softirq_rate,softirq_cpu_overhead_pct,total_cpu_overhead_pct
k8s,dp_redis_density,run3,1955.0207998221515,0.14662655998666135,29273.122416605907,2.195484181245443,2.3421107412321045
k8s,dp_redis_density,run4,1955.3122882255764,0.14664842161691824,29058.741954697693,2.1794056466023273,2.3260540682192454
k8s,dp_redis_density,run5,1950.4220535792454,0.1462816540184434,29063.45801283229,2.179759350962422,2.3260410049808655
kubeEdge,idle,run1,1238.6748422138887,0.09290061316604165,289.76283093999996,0.0217322123205,0.11463282548654165
kubeEdge,idle,run2,1250.0343413927778,0.09375257560445834,297.12089631277775,0.022284067223458333,0.11603664282791668
kubeEdge,idle,run3,1246.6127968983333,0.093495959767375,294.27332731166655,0.02207049954837499,0.11556645931574999
kubeEdge,idle,run4,1233.394255762222,0.09250456918216665,293.7407071644444,0.022030553037333332,0.11453512221949999
kubeEdge,idle,run5,1230.6898404933333,0.09230173803700001,289.6599954633333,0.02172449965975,0.11402623769675001
kubeEdge,cp_heavy_12client,run1,3791.559116993036,0.2843669337744777,660.6010002728857,0.04954507502046643,0.3339120087949441
kubeEdge,cp_heavy_12client,run2,4100.375758971111,0.3075281819228334,698.4241953147223,0.05238181464860417,0.3599099965714375
kubeEdge,cp_heavy_12client,run3,4250.969923764058,0.31882274428230434,722.4683856501448,0.05418512892376086,0.3730078732060652
kubeEdge,cp_heavy_12client,run4,4201.802289964124,0.31513517174730926,745.0364575997173,0.055877734319978806,0.3710129060672881
kubeEdge,cp_heavy_12client,run5,4655.790909282051,0.34918431819615386,819.5062180368589,0.061462966352764416,0.4106472845489183
kubeEdge,dp_redis_density,run1,2170.281893000617,0.16277114197504627,8486.091978773251,0.6364568984079938,0.7992280403830401
kubeEdge,dp_redis_density,run2,2308.1023633830187,0.1731076772537264,24253.25586435849,1.8189941898268867,1.992101867080613
kubeEdge,dp_redis_density,run3,2295.3083578731657,0.17214812684048741,24198.62122070482,1.8148965915528614,1.9870447183933488
kubeEdge,dp_redis_density,run4,2301.7633257639413,0.1726322494322956,24172.144052991403,1.8129108039743553,1.985543053406651
kubeEdge,dp_redis_density,run5,2300.049674433753,0.17250372558253146,24003.338323771906,1.800250374282893,1.9727540998654245
openYurt,idle,run1,1303.3812888388888,0.09775359666291668,356.05436025111106,0.02670407701883333,0.12445767368175001
openYurt,idle,run2,1304.9881150977778,0.09787410863233334,351.01646673166664,0.026326235004874996,0.12420034363720833
openYurt,idle,run3,1313.5810099316668,0.09851857574487502,350.5191929683333,0.026288939472625,0.12480751521750003
openYurt,idle,run4,1316.2494937922224,0.09871871203441668,354.03024101166665,0.026552268075875,0.12527098011029167
openYurt,idle,run5,1310.4249235300001,0.09828186926475,355.88559497833336,0.026691419623375005,0.124973288888125
openYurt,cp_heavy_12client,run1,3824.1286633444447,0.28680964975083334,915.5983186352656,0.06866987389764492,0.35547952364847824
openYurt,cp_heavy_12client,run2,3805.2407763159617,0.28539305822369715,913.5933227685447,0.06851949920764085,0.353912557431338
openYurt,cp_heavy_12client,run3,3878.2980526956526,0.290872353952174,929.1197745869567,0.06968398309402175,0.3605563370461957
openYurt,cp_heavy_12client,run4,3877.6396948244137,0.290822977111831,931.2729741615025,0.0698454730621127,0.3606684501739437
openYurt,cp_heavy_12client,run5,3674.944802302666,0.2756208601727,883.7028852146668,0.06627771639110001,0.3418985765638
openYurt,dp_redis_density,run1,2258.2655401445145,0.16936991551083858,25043.559570833757,1.8782669678125319,2.0476368833233707
openYurt,dp_redis_density,run2,2249.481788278826,0.16871113412091196,24851.14610965891,1.863835958224418,2.0325470923453297
openYurt,dp_redis_density,run3,2252.572981301887,0.16894297359764154,24757.373374893294,1.8568030031169973,2.0257459767146386
openYurt,dp_redis_density,run4,2245.4091333358647,0.16840568500018985,24798.184848723206,1.8598638636542406,2.0282695486544307
openYurt,dp_redis_density,run5,2251.946136080293,0.16889596020602196,24764.35182683124,1.857326387012343,2.026222347218365
